AdditionBudget,RemovalBudget,PerturbationStrategy,PerturbedTestFScores,TruePositive,FalseNegative,FalsePositive,DistanceMetric,DegreeMetric,PerturbedHomophily
0.0,0.1,remove,"[0.36734694, 0.59016395, 0.7473171, 0.71376806, 0.81980735, 0.7444668, 0.6638116836547852]","[36, 126, 383, 197, 298, 185]","[65, 125, 39, 124, 72, 62]","[59, 50, 220, 34, 59, 65]",8.263259109311742,4.920765027322404,0.7362705553831834
0.0,0.1,remove,"[0.3333333, 0.6139535, 0.74418604, 0.7205882, 0.8265583, 0.7302905, 0.661484956741333]","[33, 132, 384, 196, 305, 176]","[68, 119, 38, 125, 65, 71]","[64, 47, 226, 27, 63, 59]",8.571662328899171,4.852209944751381,0.73689109525287
0.0,0.1,remove,"[0.35121953, 0.59433967, 0.74509805, 0.71582735, 0.8310627, 0.75051546, 0.6646771430969238]","[36, 126, 380, 199, 305, 182]","[65, 125, 42, 122, 65, 65]","[68, 47, 218, 36, 59, 56]",8.230239059186427,5.059139784946237,0.7350294756438102
0.0,0.1,remove,"[0.37810946, 0.6132076, 0.7465887, 0.7395264, 0.83355886, 0.73814434, 0.6748558878898621]","[38, 130, 383, 203, 308, 179]","[63, 121, 39, 118, 62, 68]","[62, 43, 221, 25, 61, 59]",8.36487372276846,5.040730337078652,0.7415451442755197
0.0,0.1,remove,"[0.37755105, 0.5985748, 0.7466151, 0.72262776, 0.8201635, 0.7413442, 0.6678127646446228]","[37, 126, 386, 198, 301, 182]","[64, 125, 36, 123, 69, 65]","[58, 44, 226, 29, 63, 62]",8.286883073067283,5.006877579092159,0.7334781259695935
0.0,0.1,remove,"[0.36548224, 0.6038648, 0.7415946, 0.72495455, 0.826087, 0.7351129, 0.6661826968193054]","[36, 125, 386, 199, 304, 179]","[65, 126, 36, 122, 66, 68]","[60, 38, 233, 29, 62, 61]",8.43021978021978,5.073669849931787,0.7340986658392802
0.0,0.1,remove,"[0.3529412, 0.6088993, 0.7413127, 0.71086556, 0.82465756, 0.7396694, 0.6630576252937317]","[36, 130, 384, 193, 301, 179]","[65, 121, 38, 128, 69, 68]","[67, 46, 230, 29, 59, 58]",8.342348660111819,4.970212765957447,0.7381321749922433
0.0,0.1,remove,"[0.37999997, 0.6023529, 0.7507331, 0.7272727, 0.82702696, 0.744856, 0.6720402836799622]","[38, 128, 384, 200, 306, 181]","[63, 123, 38, 121, 64, 66]","[61, 46, 217, 29, 64, 58]",8.503328031617505,4.952314165497897,0.7384424449270865
0.0,0.1,remove,"[0.36180905, 0.5995316, 0.74586165, 0.71454877, 0.82749325, 0.7325103, 0.6636257767677307]","[36, 128, 383, 194, 307, 178]","[65, 123, 39, 127, 63, 69]","[62, 48, 222, 28, 65, 61]",8.288394062078273,4.9393939393939394,0.7365808253180267
0.0,0.1,remove,"[0.39, 0.60280377, 0.74804693, 0.71272725, 0.8251366, 0.7387755, 0.6695816516876221]","[39, 129, 383, 196, 302, 181]","[62, 122, 39, 125, 68, 66]","[60, 48, 219, 33, 60, 62]",8.05367746288799,5.0841379310344825,0.7384424449270865
