AdditionBudget,RemovalBudget,PerturbationStrategy,PerturbedTestFScores,TruePositive,FalseNegative,FalsePositive,DistanceMetric,DegreeMetric,PerturbedHomophily
0.0,0.1,remove,"[0.33502537, 0.60788864, 0.7429679, 0.71823204, 0.81904763, 0.73100615, 0.6590279936790466]","[33, 131, 383, 195, 301, 178]","[68, 120, 39, 126, 69, 69]","[63, 49, 226, 27, 64, 62]",8.499571042992095,5.082172701949861,0.7331678560347502
0.0,0.1,remove,"[0.36458334, 0.6135831, 0.73674065, 0.7119266, 0.8281461, 0.72727275, 0.6637087464332581]","[35, 131, 382, 194, 306, 176]","[66, 120, 40, 127, 64, 71]","[56, 45, 233, 30, 63, 61]",8.275187969924811,4.901662049861496,0.7393732547316165
0.0,0.1,remove,"[0.35532996, 0.618267, 0.74757284, 0.71402544, 0.816825, 0.7396694, 0.6652815937995911]","[35, 132, 385, 196, 301, 179]","[66, 119, 37, 125, 69, 68]","[61, 44, 223, 32, 66, 58]",8.18582995951417,5.0094594594594595,0.7378219050574
0.0,0.1,remove,"[0.35643566, 0.6009389, 0.74202895, 0.7166362, 0.82288826, 0.73333335, 0.6620435118675232]","[36, 128, 384, 196, 302, 176]","[65, 123, 38, 125, 68, 71]","[65, 47, 229, 30, 62, 57]",8.529564295353769,5.00140056022409,0.7384424449270865
0.0,0.1,remove,"[0.36, 0.5854801, 0.7441406, 0.71402544, 0.8240109, 0.7372709, 0.6608213782310486]","[36, 125, 381, 196, 302, 181]","[65, 126, 41, 125, 68, 66]","[63, 51, 221, 32, 61, 63]",8.284492481203008,5.0211565585331455,0.7378219050574
0.0,0.1,remove,"[0.35820895, 0.60280377, 0.74490786, 0.72262776, 0.83378744, 0.74273854, 0.6675123572349548]","[36, 129, 384, 198, 306, 179]","[65, 122, 38, 123, 64, 68]","[64, 48, 225, 29, 58, 56]",8.42025014459225,4.988980716253444,0.7372013651877133
0.0,0.1,remove,"[0.3718593, 0.59433967, 0.73795766, 0.71532845, 0.8209367, 0.7402863, 0.6634513735771179]","[37, 126, 383, 196, 298, 181]","[64, 125, 39, 125, 72, 66]","[61, 47, 233, 31, 58, 61]",8.351527858106806,5.018413597733711,0.7396835246664598
0.0,0.1,remove,"[0.34343433, 0.60421544, 0.7321772, 0.70825696, 0.8209367, 0.7387755, 0.6579660177230835]","[34, 129, 380, 193, 298, 181]","[67, 122, 42, 128, 72, 66]","[63, 47, 236, 31, 58, 62]",8.219770580296895,4.913103448275862,0.7337883959044369
0.0,0.1,remove,"[0.35897437, 0.5896226, 0.7368421, 0.7103825, 0.81461436, 0.7454175, 0.659308910369873]","[35, 125, 378, 195, 301, 183]","[66, 126, 44, 126, 69, 64]","[59, 48, 226, 33, 68, 61]",8.259478021978023,4.995732574679943,0.7362705553831834
0.0,0.1,remove,"[0.36999997, 0.60189575, 0.74252653, 0.6962962, 0.8224044, 0.7342799, 0.6612337827682495]","[37, 127, 385, 188, 301, 181]","[64, 124, 37, 133, 69, 66]","[62, 44, 230, 31, 61, 65]",8.358502024291498,4.96105702364395,0.7471300031026994
0.0,0.1,remove,"[0.36180905, 0.59615386, 0.74589366, 0.7185185, 0.82416105, 0.7361963, 0.6637887358665466]","[36, 124, 386, 194, 307, 180]","[65, 127, 36, 127, 63, 67]","[62, 41, 227, 25, 68, 62]",8.144871794871795,5.025316455696203,0.7424759540800496
0.0,0.1,remove,"[0.35820895, 0.6037736, 0.73929965, 0.7132352, 0.83557945, 0.7463917, 0.6660813689231873]","[36, 128, 380, 194, 310, 181]","[65, 123, 42, 127, 60, 66]","[64, 45, 226, 29, 62, 57]",8.299963851937536,4.973574408901252,0.7393732547316165
0.0,0.1,remove,"[0.35175878, 0.59574467, 0.7415295, 0.7007299, 0.82225245, 0.7396694, 0.6586140990257263]","[35, 126, 383, 192, 303, 179]","[66, 125, 39, 129, 67, 68]","[63, 46, 228, 35, 64, 58]",8.233251397725082,5.034199726402189,0.7344089357741235
0.0,0.1,remove,"[0.38190955, 0.60421544, 0.7378641, 0.7069597, 0.82448983, 0.73921967, 0.6657763719558716]","[38, 129, 380, 193, 303, 180]","[63, 122, 42, 128, 67, 67]","[60, 47, 228, 32, 62, 60]",8.361798727588202,5.0643356643356645,0.73596028544834
0.0,0.1,remove,"[0.36453202, 0.60807604, 0.7487781, 0.7103825, 0.8297297, 0.7459017, 0.667900025844574]","[37, 128, 383, 195, 307, 182]","[64, 123, 39, 126, 63, 65]","[65, 42, 218, 33, 63, 59]",8.469397050318102,4.951086956521739,0.7412348743406764
0.0,0.1,remove,"[0.3756345, 0.59999996, 0.74363995, 0.71926606, 0.8346883, 0.7357724, 0.6681668758392334]","[37, 129, 380, 196, 308, 181]","[64, 122, 42, 125, 62, 66]","[59, 50, 220, 28, 60, 64]",8.395493541546173,5.011428571428572,0.7378219050574
0.0,0.1,remove,"[0.35714287, 0.60747665, 0.7400966, 0.7060998, 0.8206521, 0.7418033, 0.6622118353843689]","[35, 130, 383, 191, 302, 181]","[66, 121, 39, 130, 68, 66]","[60, 47, 230, 29, 64, 60]",8.365671390013496,4.916782246879334,0.7356500155134967
0.0,0.1,remove,"[0.34999996, 0.6004728, 0.7490272, 0.71897817, 0.8158254, 0.73983735, 0.6623567938804626]","[35, 127, 385, 197, 299, 182]","[66, 124, 37, 124, 71, 65]","[64, 45, 221, 30, 64, 63]",8.333222479275111,4.9655172413793105,0.7353397455786534
0.0,0.1,remove,"[0.37373737, 0.5995316, 0.7370442, 0.7050093, 0.8281461, 0.72651356, 0.6616636514663696]","[37, 128, 384, 190, 306, 174]","[64, 123, 38, 131, 64, 73]","[60, 48, 236, 28, 63, 58]",8.00736215538847,5.084985835694051,0.7337883959044369
0.0,0.1,remove,"[0.33999997, 0.61252904, 0.748538, 0.7150635, 0.82417583, 0.7295082, 0.6616357564926147]","[34, 132, 384, 197, 300, 178]","[67, 119, 38, 124, 70, 69]","[65, 48, 220, 33, 58, 63]",8.31163726624253,5.0,0.7347192057089668
0.0,0.1,remove,"[0.3718593, 0.59574467, 0.73938227, 0.7050093, 0.82591087, 0.74074066, 0.6631078124046326]","[37, 126, 383, 190, 306, 180]","[64, 125, 39, 131, 64, 67]","[61, 46, 231, 28, 65, 59]",8.423368517447464,4.9944827586206895,0.7356500155134967
0.0,0.1,remove,"[0.35714287, 0.59574467, 0.74926835, 0.71999997, 0.83288413, 0.73770493, 0.6654574871063232]","[35, 126, 384, 198, 309, 180]","[66, 125, 38, 123, 61, 67]","[60, 46, 219, 31, 63, 61]",8.531668112589164,4.852901484480432,0.7375116351225566
